,Population,Ward Office,Ward Name
Ward No.1,44060,Sangamwadi,Dhanori
Ward No.2,25430,Sangamwadi,Vidhyanagar Lohagaon
Ward No.3,22592,Sangamwadi,Tingre Pumping Station
Ward No.4,24678,Sangamwadi,Kalas Vishrantwadi
Ward No.5,18490,Sangamwadi,Nanasaheb Parulekar Vidhyalaya
Ward No.6,26134,Sangamwadi,Yerwada Prizen Press
Ward No.7,33810,Yerwada/Nagarroad,Lohagaon Vimantal
Ward No.8,37947,Yerwada/Nagarroad,Kharadigaon
Ward No.9,24332,Yerwada/Nagarroad,Kharadi Infotech Park
Ward No.10,24433,Yerwada/Nagarroad,Sundrabai Marathe Vidhyalaya
Ward No.11,32731,Yerwada/Nagarroad,Vadgaon Sheri
Ward No.12,25865,Yerwada/Nagarroad,Ramwadi
Ward No.13,25272,Yerwada/Nagarroad,Agakhan Pallace
Ward No.14,18483,Yerwada/Nagarroad,Don Bosco  Highschool
Ward No.15,16691,Yerwada/Nagarroad,NagpurChawl
Ward No.16,15724,Sangamwadi,"PhuleNagar ,Yerwada"
Ward No.17,15990,Sangamwadi,Netaji Subhashchandra Bose Vidhyalaya
Ward No.18,14960,Sangamwadi,Yerwadagaon
Ward No.19,17702,Sangamwadi,Parnkuti
Ward No.20,18332,Sangamwadi,YerwadaHotmix Plant
Ward No.21,17865,Sangamwadi,Deccon Collage
Ward No.22,18071,Gholeroad,Kamal Nayan Bajaj Udhyan
Ward No.23,15744,Gholeroad,Setki Mahavidhyalaya
Ward No.24,17876,Aundh,Sanjay Gandhi Rugnalya
Ward No.25,15834,Aundh,Bopodi
Ward No.26,16240,Aundh,Pune Vidhyapeeth
Ward No.27,17766,Aundh,AundhGaon
Ward No.28,31972,Aundh,Baner-Balewadi
Ward No.29,23994,Aundh,Sutarwadi
Ward No.30,24574,Aundh,Pashan
Ward No.31,15205,Aundh,Aundh I.T.I
Ward No.32,17663,Aundh,RajBhavan
Ward No.33,20138,Gholeroad,Chaturshingi Mandir
Ward No.34,14892,Gholeroad,Model Colony
Ward No.35,14669,Gholeroad,Morden Collage
Ward No.36,12603,Gholeroad,P.M.C Bhavan
Ward No.37,15380,Dholepatilroad,Dr.Nayadu Hospital
Ward No.38,14096,Dholepatilroad,Bundgarden
Ward No.39,14447,Dholepatilroad,Wadiya Collage
Ward No.40,14685,Dholepatilroad,Koregaon Park
Ward No.41,19153,Dholepatilroad,Mundhvagaon
Ward No.42,40932,Hadapsar,Magarpatta Hadapsar
Ward No.43,29733,Hadapsar,Hadapsar Indestrial Estate
Ward No.44,27453,Hadapsar,Sent Patric Town
Ward No.45,30023,Dholepatilroad,Vikas Nagar Ghorpadi
Ward No.46,14736,Dholepatilroad,Dr.Babasaheb Ambedkar Udhyan
Ward No.47,14192,Dholepatilroad,Sasoon Hospital
Ward No.48,16440,Bhavanipeth,Kamla Nehru Hospital
Ward No.49,18701,Dholepatilroad,Juna Bazar
Ward No.50,15943,Kasbavishrambaug,Kasba Ganpati
Ward No.51,13824,Kasbavishrambaug,Shanivarwada
Ward No.52,12273,Kasbavishrambaug,New English School(Ramanbaug)
Ward No.53,16120,Gholeroad,Fergussion Collage
Ward No.54,16690,Gholeroad,Dr.Homi Baba Hospital
Ward No.55,14614,Gholeroad,Gokhlenagar
Ward No.56,15228,Gholeroad,Vidhi Mahavidhyalaya
Ward No.57,18064,Kothrud,Shankarrao More Vidhyalaya
Ward No.58,20244,Kothrud,RamBaug Colony
Ward No.59,29109,Kothrud,Kishkindhanagar
Ward No.60,19342,Kothrud,Ramkrishna Parmhance Nagar
Ward No.61,37509,Kothrud,Ved Bhavan
Ward No.62,33045,Kothrud,Mahatma Society -Kothrud
Ward No.63,18796,Kothrud,Wanaj Compani
Ward No.64,20022,Kothrud,Yashwantrao Chavan Natyagrha
Ward No.65,13200,Kothrud,Idiol Colony
Ward No.66,17087,Warje,Dinanath Mangeshkar Rugnalaya
Ward No.67,12909,Gholeroad,Deccon Jimkhana
Ward No.68,12659,Kasbavishrambaug,RajendraNagar
Ward No.69,12438,Kasbavishrambaug,Vishrambaugwada
Ward No.70,10752,Kasbavishrambaug,Mahatama Phule Mandi
Ward No.71,12741,Kasbavishrambaug,City Post
Ward No.72,14871,Kasbavishrambaug,Ganeshpeth Gurudwara
Ward No.73,15953,Bhavanipeth,Tilak Aaurved Mahavidhyalaya
Ward No.74,15586,Bhavanipeth,Rajewadi
Ward No.75,15272,Bhavanipeth,Harkanagar
Ward No.76,17454,Bhavanipeth,Jonral Arunkumar vaidya Stedium
Ward No.77,17270,Bhavanipeth,Doke Talim
Ward No.78,14997,Bhavanipeth,Swami Samarth Mandir Ganesh peth
Ward No.79,13707,Kasbavishrambaug,Dr.Kotnis Davakhana
Ward No.80,13647,Kasbavishrambaug,Renuka Swarup Prashala
Ward No.81,13271,Kasbavishrambaug,S.P.Collage
Ward No.82,14026,Kasbavishrambaug,Subhashnagar
Ward No.83,12547,Bhavanipeth,Ghorpade Udhyan
Ward No.84,18332,Kasbavishrambaug,Panch Houd Mission
Ward No.85,15688,Bhavanipeth,Mahatma Phule Smark (Samata Bhumi)
Ward No.86,18598,Bhavanipeth,Lohianagar
Ward No.87,14636,Bhavanipeth,Ekbote Colony
Ward No.88,18491,Bhavanipeth,Gurunanak Nagar
Ward No.89,23689,Hadapsar,Wawadi Gaon
Ward No.90,20519,Hadapsar,Ramtekdi
Ward No.91,22367,Hadapsar,Hadapsar Gaon
Ward No.92,20509,Hadapsar,Glayding Center
Ward No.93,28638,Hadapsar,Sadhana Vidhylaya
Ward No.94,21840,Hadapsar,Satavwadi
Ward No.95,44802,Hadapsar,Kaleborate Nagar
Ward No.96,44269,Hadapsar,Mahamodwadi
Ward No.97,28491,Bibvewadi,Mahadji Shinde Chatri
Ward No.98,18311,Sahakarnagar,Salasbari Park
Ward No.99,18474,Sahakarnagar,Tilak Maharashtra Vidhyapeeth
Ward No.100,20279,Sahakarnagar,Parvati Darshan
Ward No.101,16389,Tilakroad,Parvatigaon
Ward No.102,14725,Tilakroad,Paravati Jal kendra
Ward No.103,16730,Tilakroad,Dandekar Pul-Dattawadi
Ward No.104,23399,Tilakroad,Pu.La.Deshpande Udhyan
Ward No.105,17854,Warje,Mejor Thathwade Udhyan
Ward No.106,19993,Warje,Kothrud Gaon
Ward No.107,18668,Warje,Happy Colony
Ward No.108,12827,Warje,Dahanukar Colony
Ward No.109,35401,Warje,Warje Jal Shudhikaran Prakalpa
Ward No.110,38951,Warje,Popularnagar Warje
Ward No.111,26155,Warje,Warje  Malwadi
Ward No.112,24492,Warje,Maharshi karve Nagar
Ward No.113,21971,Warje,Higne Steri Shikshan Sanstha
Ward No.114,17964,Tilakroad,Janta Vasahat
Ward No.115,16330,Sahakarnagar,Shau Collage
Ward No.116,15033,Sahakarnagar,Parvati Industrial Estate
Ward No.117,16021,Sahakarnagar,Maharshi Nagar
Ward No.118,18923,Sahakarnagar,Chatrapati Shivaji Marketyard
Ward No.119,22201,Sahakarnagar,D.A.D Colony
Ward No.120,25014,Bibvewadi,Kondhva Khurd
Ward No.121,34937,Bibvewadi,N.I.B.M
Ward No.122,49363,Bibvewadi,Mithanagar
Ward No.123,24791,Bibvewadi,Bibvewadi
Ward No.124,20316,Sahakarnagar,Shankar Maharaj Math
Ward No.125,20700,Sahakarnagar,Padmavati -Areneshwar
Ward No.126,18853,Sahakarnagar,Taljai Mandir
Ward No.127,25783,Tilakroad,Anandnagar -Higne Khurd
Ward No.128,36080,Tilakroad,Vitthalwadi
Ward No.129,44678,Tilakroad,Vadgaon Dhayari
Ward No.130,25876,Tilakroad,Vadgaon Budruk
Ward No.131,20666,Tilakroad,Manikbaug
Ward No.132,26685,Dhankawadi,Chavannagar
Ward No.133,23888,Dhankawadi,Dhankawadi Ambegaon Pathar
Ward No.134,25148,Dhankawadi,Dhankawadi Gaon
Ward No.135,15030,Dhankawadi,Chaitanya Nagar Dhankawadi
Ward No.136,19916,Dhankawadi,Balajinagar
Ward No.137,31390,Bibvewadi,Sukhsagarnagar
Ward No.138,16457,Bibvewadi,Vishwakarma Institute (Bibvewadi)
Ward No.139,35527,Bibvewadi,Upper Indiranagar Bibvewadi
Ward No.140,45476,Bibvewadi,Kondhva Budrukh
Ward No.141,41214,Dhankawadi,Katraj Gaon
Ward No.142,17067,Dhankawadi,Rajiv Gandhi Pranisangrhalya
Ward No.143,40938,Dhankawadi,Bharti Vidhyapeeth
Ward No.144,26762,Dhankawadi,Agam Mandir Katraj
Total,3124458,,
